Satellite,Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
43,1,09:53:08,14:18:51,15942.725
43,2,18:41:58,23:00:07,15489.039
44,1,09:23:52,16:51:15,26842.941
48,1,05:57:37,13:17:34,26396.685
50,1,09:26:20,10:02:40,2180.268
50,2,16:22:05,22:28:55,22010.817
51,1,07:53:42,09:43:52,6609.747
51,2,15:11:57,21:05:07,21189.929
52,1,01:13:11,07:36:12,22981.121
53,1,09:53:39,16:46:58,24799.206
55,1,00:00:00,00:22:25,1344.947
55,2,11:14:21,13:46:14,9113.371
55,3,18:49:02,00:00:00,18658.05
56,1,04:00:15,09:32:02,19906.935
56,2,20:18:49,22:44:20,8730.406
57,1,16:43:45,23:09:36,23150.848
58,1,01:51:45,03:22:17,5431.841
58,2,14:10:55,20:04:38,21222.308
59,1,10:51:32,17:57:10,25537.876
61,1,00:07:40,05:07:32,17992.295
61,2,09:30:40,13:19:57,13757.457
62,1,01:36:00,04:46:10,11409.697
62,2,15:36:46,20:51:43,18896.852
64,1,07:41:23,14:26:48,24324.678
65,1,00:00:00,01:50:49,6649.254
65,2,12:44:56,17:19:06,16450.591
65,3,21:37:22,00:00:00,8558.154
66,1,00:00:00,01:53:25,6805.423
66,2,06:14:56,10:41:44,16007.598
66,3,21:32:37,00:00:00,8842.659
67,1,05:25:33,06:28:30,3777.429
67,2,12:33:46,18:40:18,21992.667
68,1,05:08:10,11:18:21,22211.826
69,1,02:21:06,08:05:54,20688.084
69,2,13:30:16,15:36:06,7549.326
70,1,00:00:00,05:29:31,19771.265
70,2,22:16:07,00:00:00,6233.317
71,1,02:57:32,08:22:57,19525.212
71,2,19:13:09,22:00:48,10058.989
72,1,00:00:00,02:12:56,7976.067
72,2,06:56:00,12:10:04,18844.136
72,3,22:58:05,00:00:00,3715.374
73,1,00:00:00,04:23:39,15819.422
73,2,20:54:11,00:00:00,11149.245
74,1,03:23:29,10:14:43,24673.622
75,1,00:00:00,01:28:12,5292.494
75,2,18:16:05,00:00:00,20634.686
76,1,00:00:00,02:39:01,9540.653
76,2,19:14:24,00:00:00,17135.501
77,1,08:36:33,16:00:45,26652.263
78,1,13:36:10,20:17:12,24061.807
79,1,00:17:51,06:24:08,21977.415
79,2,17:16:27,18:06:57,3029.748
